año;cargo;materia;genero
2020;Defensor;Defensor Público;Femenino
2020;Juez;Juez de camara;Masculino
2020;Juez;Juez de juzgado general;Femenino
2021;Defensor;Defensor Público;Femenino
2021;Juez;Juez de camara;Masculino
2021;Juez;Juez de juzgado general;Femenino
2021;Vocal;Vocal de la Cámara Federal;Femenino
2021;Fiscal;Fiscal General;Masculino
2021;Fiscal;Fiscal ante los Juzgados Federales;Masculino
2022;Defensor;Defensor Público;Femenino
2022;Juez;Juez de camara;Masculino
2022;Juez;Juez de juzgado general;Femenino
2022;Vocal;Vocal de la Cámara Federal;Femenino
2022;Fiscal;Fiscal General;Masculino
2022;Fiscal;Fiscal ante los Juzgados Federales;Masculino
2022;Fiscal;Fiscal de la Justicia Nacional;Femenino
2022;Fiscal;Fiscal de la Justicia Nacional;Masculino
